cfips,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,county,state,K-means_Silhouette,K-means_Elbow
1021,1.4253496,1.4343708,1.401293,1.4494061,1.4554203,1.460205,1.4692185,1.4091278,1.4511913,1.4902502,1.4782321,1.4812367,1.4902502,1.472223,1.4391731,1.4031187,1.3971096,1.3853979,1.5380012,1.5649312,1.6128067,1.6128067,1.6187911,1.6397367,1.6726511,1.6546978,1.6487134,1.6517056,1.6786356,1.6673118,1.6881531,1.7179266,1.7268586,1.7209039,1.7625867,1.8102242,1.7655641,1.7685415,1.8132015,1.8340429,1.8012922,,,,,,,328,0,0,0
1023,1.0494181,1.0494181,1.0684984,1.0780386,1.0494181,1.0935252,1.1223022,1.1510792,1.1798561,1.1990408,1.2757794,1.2374101,1.2182255,1.2278178,1.2182255,1.1702638,1.1702638,1.1625654,1.3272622,1.3466382,1.3757024,1.3175741,1.3078861,1.3175741,1.4144546,1.4047666,1.4435186,1.4628948,1.4532068,1.4891741,1.4793769,1.5185657,1.5087684,1.5185657,1.587146,1.6557264,1.6361321,1.6459292,1.6851181,1.6753209,1.6557264,,,,,,,332,0,0,0
1025,1.1564021,1.0517503,1.0465177,1.0465177,1.0465177,1.0737972,1.0211601,1.042215,1.0895884,1.058006,1.0264238,1.042215,1.058006,1.0843247,1.0527424,1.0632699,1.0632699,1.0455921,1.0084391,1.0031315,1.0296693,1.0084391,0.97659361,0.99251634,0.99251634,0.99251634,0.97659361,1.0084391,1.0880526,1.0906758,1.0746365,1.0960222,1.0853293,1.0853293,1.2189906,1.3205731,1.3473054,1.3526518,1.3526518,1.3473054,1.3205731,,,,,,,348,0,0,0
1027,1.3459716,1.421801,1.4502369,1.5165877,1.4976304,1.4774126,1.4963539,1.5531774,1.5058244,1.5247656,1.5531774,1.5815892,1.5437068,1.5721185,1.5437068,1.5342362,1.5058244,1.5342362,1.4774126,1.467942,1.4584714,1.4205891,1.4584714,1.4395303,1.4205891,1.4111185,1.4205891,1.4963539,1.467942,1.4976304,1.6777251,1.6777251,1.6682464,1.6777251,1.6872038,1.6492891,1.6208531,1.6208531,1.5829384,1.5924171,1.5734597,,,,,,,350,0,0,5
1029,1.1845658,1.1932758,1.2019858,1.1671457,1.1671457,1.2608696,1.2347826,1.2869565,1.2782608,1.2869565,1.2695652,1.2521739,1.2608696,1.2695652,1.2695652,1.2347826,1.2434783,1.2312495,1.3439695,1.3092864,1.3006157,1.2659326,1.2832741,1.2746034,1.2659326,1.2832741,1.2746034,1.2832741,1.2746034,1.2951131,1.2951131,1.286479,1.3210154,1.3210154,1.3210154,1.3555517,1.3469176,1.3641858,1.3555517,1.3469176,1.3469176,,,,,,,355,0,0,6
1031,2.0614057,2.0819428,2.0716743,2.1204498,2.1153154,2.0906279,2.0599587,2.0982952,2.0906279,2.1008511,2.0906279,2.1085184,2.0880721,2.0778491,2.0599587,2.0395124,2.0395124,1.9998478,2.0379159,2.0303023,2.035378,2.0709083,2.0658326,2.078522,2.078522,2.0607567,2.0658326,2.075984,2.1039007,2.0884521,2.0934663,2.1235521,2.1260593,2.1034949,2.1185379,2.1962593,2.1511307,2.1987665,2.2163165,2.2113023,2.2413878,,,,,,,369,0,0,0
1033,2.3123553,2.3053339,2.2772486,2.3474617,2.3146956,2.2944016,2.282743,2.2944016,2.3177187,2.3130553,2.315387,2.315387,2.3503625,2.3456991,2.3130553,2.2897382,2.3037283,2.2305522,2.2189829,2.2236106,2.2259245,2.2351799,2.2536905,2.2421212,2.2467489,2.2259245,2.2421212,2.2444351,2.2629459,2.2643073,2.2896197,2.3241365,2.3333411,2.3402443,2.3425455,2.3655567,2.3586533,2.3977726,2.441494,2.4391928,2.441494,,,,,,,372,0,0,0
1035,0.73924053,0.72911394,0.73924053,0.76962024,0.75949365,0.79083443,0.77055663,0.77055663,0.78069556,0.75027883,0.79083443,0.79083443,0.79083443,0.79083443,0.84152895,0.79083443,0.78069556,0.80694586,1.011236,1.011236,2.0122573,2.1246169,2.1246169,2.1144025,2.1552606,1.2155261,1.1950971,1.1746681,1.1950971,1.1993383,1.2096775,1.17866,1.1476427,1.1373036,1.0545906,1.1476427,1.1579818,1.1373036,1.095947,1.095947,1.013234,,,,,,,392,0,1,2
1037,0.56353593,0.55248618,0.53038675,0.519337,0.50828731,0.49972236,0.49972236,0.53303719,0.52193224,0.49972236,0.57745695,0.58856189,0.58856189,0.59966683,0.57745695,0.56635201,0.57745695,0.59178203,0.71460474,0.73693615,0.74810183,0.74810183,0.74810183,0.73693615,0.73693615,0.71460474,0.70343906,0.72577041,0.71460474,0.73883355,0.69405574,0.69405574,0.69405574,0.72763908,0.75002801,0.79480577,0.8171947,0.8171947,0.82838911,0.80600023,0.79480577,,,,,,,401,0,0,3
1039,1.503708,1.5378832,1.5549707,1.5583884,1.5481358,1.5397277,1.5465862,1.5397277,1.5397277,1.5260108,1.5328692,1.5397277,1.5877371,1.5945956,1.5774493,1.5465862,1.5328692,1.5325274,1.6151806,1.6324,1.6324,1.6289562,1.6392878,1.6289562,1.6392878,1.6427317,1.6668389,1.690946,1.6633949,1.6811354,1.6914703,1.6604657,1.6604657,1.6501309,1.6604657,1.6811354,1.6742456,1.6673557,1.6845804,1.6914703,1.7224748,,,,,,,411,0,0,0
1041,0.92247486,0.95042861,0.91315693,0.97838241,0.92247486,0.95822865,0.97683507,0.98613822,1.0047446,1.0140479,1.069867,1.116383,1.0605638,1.0884733,1.069867,1.023351,1.0140479,1.0243993,0.9219594,0.9219594,0.89402121,0.89402121,0.9219594,0.91264665,0.94058484,0.96852303,0.95921028,0.98714846,0.99646115,1.0053993,1.0240179,1.0891826,1.1078012,1.1078012,1.1171104,1.1915845,1.0798734,1.0798734,1.0612549,1.0519457,1.0333271,,,,,,,421,0,0,5
1043,2.4879234,2.4784517,2.4926593,2.4910808,2.4831877,2.4489732,2.4081831,2.4019077,2.4819191,2.4991763,2.4913321,2.5242779,2.53526,2.5148649,2.5180025,2.4364223,2.4583862,2.4318762,2.4739664,2.49735,2.5020266,2.4895554,2.4755254,2.5051444,2.5144978,2.5129387,2.5222921,2.5893247,2.5955603,2.5789783,2.5867138,2.6269376,2.6161082,2.5836196,2.6238437,2.6733501,2.6748972,2.6841795,2.6872737,2.7058387,2.7367802,,,,,,,431,0,0,0
1045,1.3815006,1.3682678,1.3603282,1.3920869,1.3815006,1.3934144,1.3934144,1.411958,1.3987125,1.3748709,1.380169,1.411958,1.4066597,1.4410977,1.4252033,1.4225543,1.4093089,1.4013512,1.7048453,1.7048453,1.728597,1.7048453,1.6916499,1.7048453,1.7206799,1.6969281,1.6810937,1.6969281,1.7154016,1.7068802,1.7147825,1.7121483,1.7042462,1.6963439,1.7621957,1.806975,1.7753662,1.772732,1.7595617,1.770098,1.7885365,,,,,,,442,0,0,3
1047,1.1604786,1.196336,1.2061154,1.1865567,1.1865567,1.1967338,1.1735926,1.1802043,1.1802043,1.1967338,1.2066514,1.2165692,1.2231809,1.2264868,1.2430162,1.219875,1.2430162,1.2584119,1.359354,1.3660835,1.3728129,1.3694482,1.3627187,1.3660835,1.3694482,1.3694482,1.3627187,1.3963661,1.4131898,1.418709,1.4290645,1.4394201,1.4394201,1.4394201,1.4670348,1.4981015,1.4739386,1.4670348,1.4739386,1.463583,1.4842941,,,,,,,444,0,0,0
1049,2.1565704,2.1192918,2.1453867,2.1248834,2.1677539,2.1742368,2.1463141,2.1463141,2.1760983,2.2040207,2.1965749,2.2263589,2.2263589,2.2244973,2.2096055,2.1909902,2.1686523,2.1877325,2.2267659,2.2342007,2.2379181,2.2472119,2.2509294,2.2620819,2.2379181,2.2286246,2.2881041,2.3104088,2.3271375,2.3176236,2.3213229,2.2917283,2.310225,2.3028262,2.2750814,2.2713821,2.2510357,2.2473364,2.2713821,2.2713821,2.2806304,,,,,,,463,0,0,2
1051,2.5783718,2.6373696,2.6405587,2.7091238,2.6931787,2.6963937,2.6693981,2.6693981,2.6900418,2.6773379,2.7011576,2.7218015,2.7218015,2.8361361,2.84884,2.8234322,2.7980247,2.7115951,2.7243106,2.7306683,2.7433839,2.7497418,2.7624574,2.7719939,2.7656362,2.8673608,3.0120003,3.2965112,3.3362472,3.3051851,3.308342,3.3162339,3.3414884,3.3272827,3.3541157,3.4046247,3.3998895,3.2388918,3.2452056,3.2578328,3.2578328,,,,,,,548,0,0,5
1053,1.645063,1.6895243,1.675844,1.6963644,1.6826841,1.6551725,1.6344827,1.6655172,1.6482759,1.6482759,1.6931034,1.6965517,1.7206897,1.7413793,1.7482759,1.7586207,1.7413793,1.727554,1.5746115,1.5780876,1.6197991,1.5989434,1.6024193,1.633703,1.6406549,1.633703,1.6545588,1.6962703,1.7101742,1.7276423,1.7416596,1.7521727,1.836277,1.8397813,1.8643117,1.9133726,1.8888421,1.9133726,1.948416,1.9449117,1.948416,,,,,,,556,0,0,0
1055,2.3228111,2.3004766,2.304199,2.316607,2.3203297,2.2502418,2.2291651,2.2291651,2.2552009,2.249002,2.2837164,2.298594,2.3345482,2.3531454,2.3432269,2.3122318,2.3159513,2.330632,2.4199853,2.4112983,2.4137802,2.4199853,2.4125392,2.4112983,2.4187443,2.3666215,2.3529704,2.3666215,2.3790317,2.4139428,2.4015381,2.4362712,2.4697638,2.4610806,2.5714817,2.7302611,2.7240589,2.7277801,2.7364635,2.7364635,2.7327421,,,,,,,560,0,0,3
1057,1.6157439,1.5697986,1.6004288,1.5697986,1.5774561,1.574138,1.5818168,1.6048529,1.6278892,1.6278892,1.6278892,1.6048529,1.74307,1.7353913,1.7353913,1.7661061,1.7661061,1.7442755,1.882588,1.8518518,1.2217612,1.1987091,1.0527124,1.0603966,1.0450284,1.0527124,1.0373445,1.0373445,1.0527124,1.028218,1.035949,1.035949,1.028218,1.028218,1.0204871,1.0514109,1.04368,1.0668728,1.0514109,1.04368,1.035949,,,,,,,577,0,1,7
1059,1.7484727,1.4998946,1.4956815,1.4577628,1.4156309,1.3945062,1.4029323,1.4029323,1.4366363,1.4324234,1.4450624,1.4366363,1.4661274,1.4155713,1.4282103,1.4661274,1.4408493,1.420575,1.7216522,1.7428547,1.7428547,1.7301332,1.7343737,1.7555763,1.8149436,1.8361462,1.8573488,1.8361462,1.8488678,1.8437263,1.8859168,1.9956121,2.0040503,2.0082693,2.0040503,2.063117,1.982955,1.9281074,1.9323264,1.9196693,1.9576406,,,,,,,599,0,0,5
1061,1.3254002,1.2383302,1.2576791,1.3060514,1.2867025,1.2696874,1.2745335,1.255149,1.2454567,1.2745335,1.2842258,1.2842258,1.2745335,1.2793797,1.3084565,1.3036103,1.2890719,1.2621971,1.3398708,1.3398708,1.3641438,1.3641438,1.3398708,1.3544347,1.34958,1.3641438,1.3787076,1.3787076,1.3884169,1.3891587,1.3891587,1.3551583,1.4085876,1.4037303,1.4183019,1.4474452,1.4231591,1.4377307,1.4523023,1.4571595,1.4765882,,,,,,,632,0,0,0
1063,1.3008877,1.3008877,1.2396694,1.2396694,1.2243649,1.2797076,1.3101767,1.3254113,1.2949421,1.2340037,1.2187691,1.3254113,1.2492383,1.3101767,1.2492383,1.2340037,1.2035345,1.2111801,1.0403727,1.0714285,1.2111801,1.1645963,1.1645963,1.1801243,1.1801243,1.1801243,1.2267081,1.3664596,1.3819876,1.3168087,1.3168087,1.2858249,1.3168087,1.3323005,1.3787762,1.4097599,1.3787762,1.4252517,1.4407436,1.4252517,1.4872192,,,,,,,684,0,0,0
1065,0.8778792,0.79965234,0.80834419,0.80834419,0.81703609,0.82412767,0.83289498,0.79782569,0.81536031,0.83289498,0.87673157,0.90303349,0.92056811,0.9644047,0.99070662,0.94687009,0.90303349,0.90708941,0.93350947,1.0568032,1.0744165,1.1272568,1.0920299,1.1008366,1.1096433,1.0920299,1.11845,1.11845,1.11845,1.1296444,1.1384697,1.120819,1.1031682,1.1119937,1.1384697,1.1561204,1.1296444,1.147295,1.1825964,1.173771,1.1561204,,,,,,,707,0,0,0
1067,2.8235643,2.6683421,2.653559,2.7052996,2.7496488,2.7184753,2.6815395,2.6667652,2.6593781,2.6889267,2.6963139,2.7110882,2.7849598,2.7332497,2.7258625,2.6741524,2.6519909,2.5116348,2.6446037,2.6519909,2.6889267,2.6002808,2.6002808,2.5855064,2.5781193,2.4599247,2.4968605,2.474699,2.4894733,2.4543042,2.4174528,2.424823,2.424823,2.4027123,2.424823,2.446934,2.4837854,2.4543042,2.4543042,2.4985259,2.5132666,,,,,,,755,0,1,1
1069,3.3571303,3.4036348,3.4061487,3.4174607,3.4174607,3.3914413,3.357677,3.3939424,3.4202037,3.4252057,3.4677238,3.5014882,3.5452569,3.57652,3.5877748,3.5665157,3.5840232,3.5333359,3.3491395,3.3777645,3.4014113,3.422569,3.4188354,3.4126124,3.3989222,3.4163461,3.3802536,3.4001667,3.393944,3.3539484,3.3971534,3.4144354,3.384809,3.3625894,3.384809,3.4761569,3.4452963,3.4527028,3.4243109,3.4119666,3.4354208,,,,,,,788,0,0,6
1071,1.5767797,1.5524091,1.5889649,1.5694685,1.5719055,1.5756687,1.5683401,1.5805545,1.6000978,1.5903261,1.5903261,1.6025406,1.5903261,1.5487969,1.5634543,1.5683401,1.5512397,1.5292391,1.4436016,1.4607291,1.4729631,1.7005138,1.6931735,1.7151945,1.7274284,1.7249817,1.7176414,1.7396623,1.7518963,1.7628362,1.7823961,1.7701712,1.7677262,1.7701712,1.7726161,1.797066,1.794621,1.814181,1.7799511,1.7359413,1.7334963,,,,,,,832,0,0,5
1073,6.069417,6.0820336,6.1317101,6.168376,6.1559567,6.147562,6.0356054,6.0515432,6.1326084,6.1678281,6.2046223,6.2709303,6.2919836,6.3045764,6.3053632,6.2701435,6.2599115,6.2162857,6.1205144,6.1671219,6.2695794,6.2518806,6.2335916,6.2068462,6.2023234,6.177938,6.2066498,6.2988811,6.3315263,6.3254776,6.3547935,6.4163756,6.4258199,6.3732877,6.3809609,6.4811063,6.4677272,6.4791389,6.5080609,6.5230136,6.5194721,,,,,,,838,0,0,0
1075,0.83234245,0.85063571,0.86892891,0.85063571,0.84148908,0.80971658,0.80971658,0.75450867,0.73610598,0.80051529,0.7821126,0.79131395,0.76370996,0.79131395,0.76370996,0.76370996,0.77291131,0.7844947,0.91370559,0.94139361,0.93216431,0.91370559,0.8767882,0.88601756,0.88601756,0.8767882,0.86755884,0.86755884,0.89524686,0.9155646,0.86932397,0.88782024,0.88782024,0.89706832,0.92481273,0.90631646,0.93406087,0.93406087,0.93406087,0.9155646,0.9155646,,,,,,,938,0,1,4
1077,4.1523333,4.2985997,4.3595438,4.3825674,4.3771501,4.3192959,4.2220812,4.301743,4.3152452,4.349,4.3665528,4.3679032,4.3422494,4.3571014,4.3598018,4.3530507,4.2895913,4.1819873,4.2412486,4.2587581,4.2358613,4.2547174,4.2762671,4.2412486,4.239902,4.2170053,4.2466364,4.2425957,4.2143116,4.1542587,4.1623073,4.1703553,4.1703553,4.151576,4.1824279,4.1341381,4.0684104,4.1032863,4.0402412,4.0415831,4.021462,,,,,,,955,0,1,7
1079,1.2554711,1.1940413,1.2170775,1.2055594,1.2055594,1.2105324,1.202822,1.2298084,1.2375188,1.2259532,1.2259532,1.2452292,1.2645051,1.222098,1.1835461,1.1758356,1.1758356,1.178744,1.2251208,1.2599034,1.2676328,1.2676328,1.279227,1.294686,1.3024155,1.3333334,1.3603865,1.3410628,1.3333334,1.3471663,1.3432951,1.3549086,1.362651,1.3355528,1.339424,1.3587798,1.339424,1.3471663,1.3549086,1.3510375,1.3316816,,,,,,,959,0,0,0
1081,3.975301,3.9492335,3.9590087,3.9728572,3.9638965,3.8901546,3.8269978,3.8062117,3.8669705,3.8693688,3.876564,3.8997481,3.957309,3.9645042,3.9533117,3.9301276,3.9085422,3.8441513,3.8236408,3.8236408,3.8307407,3.8228519,3.8015525,3.8015525,3.8078635,3.7692089,3.7731533,3.8449402,3.8891168,3.8338337,3.8625312,3.8935554,3.9059651,3.8989847,3.928458,4.0083456,3.9881797,4.0129991,4.0300627,4.0424724,4.0339408,,,,,,,966,0,0,3
1083,2.8974602,2.9159155,2.9187548,2.9485669,2.944308,2.8531547,2.7959239,2.7847571,2.7889447,2.7973199,2.8294249,2.8545506,2.8936348,2.9327192,2.9089894,2.881072,2.869905,2.7958548,2.7903862,2.798589,2.8190966,2.8081594,2.9106967,2.9038608,2.9161654,2.9339385,2.9489775,2.9708521,2.9763207,2.9037411,2.9130609,2.9223804,2.9250433,2.9356942,2.962322,2.9889495,2.9077353,2.9237118,2.9556651,2.9649847,2.9703102,,,,,,,983,0,0,5
1085,1.0270541,1.0646293,1.0646293,1.0270541,1.0145291,1.0118897,1.037187,1.0498356,1.0751328,1.0624841,1.0751328,1.10043,1.1130787,1.1383759,1.1257273,1.1130787,1.1130787,1.1142418,1.3319672,1.3063525,1.3831967,1.4088115,1.4216188,1.4472336,1.4472336,1.3960041,1.3831967,1.4088115,1.4216188,1.4509652,1.3861899,1.399145,1.3861899,1.399145,1.3473247,1.399145,1.3473247,1.3473247,1.4121,1.3861899,1.3861899,,,,,,,1006,0,0,2
1087,1.6765411,1.6702383,1.6828438,1.708055,1.6954494,1.7451895,1.7771528,1.8027233,1.8155085,1.860257,1.8219012,1.8538643,1.9177907,1.8986129,1.8730422,1.9177907,1.8986129,1.8822769,1.7529107,1.7399741,1.7270375,1.714101,1.6817594,1.7076325,1.7205693,1.7399741,1.7335058,1.7076325,1.7205693,1.7641658,1.8035152,1.8428646,1.8756558,1.8559811,1.8428646,1.8953305,1.8297482,1.8559811,1.8822141,1.8625393,1.9215635,,,,,,,1021,0,0,3
1089,6.2596607,6.3110619,6.2789817,6.3117909,6.2680449,6.2321053,6.1498394,6.1692381,6.2604852,6.3000016,6.3312559,6.4214253,6.4641747,6.4789038,6.4720778,6.4228621,6.415318,6.2843919,6.2447581,6.3537507,6.3732133,6.3346415,6.3516273,6.3477349,6.3760443,6.3636589,6.3898454,6.4645119,6.5299783,6.4189024,6.4651842,6.5041585,6.4380417,6.4035912,6.4213386,6.5386086,6.5299091,6.5413928,6.5793228,6.5904584,6.6231689,,,,,,,1024,0,0,0
1091,1.4859623,1.446512,1.446512,1.4596621,1.4859623,1.4532183,1.459854,1.4532183,1.4399469,1.4399469,1.4532183,1.4333112,1.4134041,1.4266756,1.3735899,1.3868613,1.3669542,1.3808821,1.3607723,1.3674755,1.3741789,1.3473656,1.3540689,1.3607723,1.3473656,1.3473656,1.333959,1.3205523,1.3138491,1.3137295,1.340957,1.3341502,1.3205364,1.340957,1.3205364,1.3954122,1.340957,1.340957,1.3613777,1.3613777,1.3886052,,,,,,,1038,0,1,6
1093,1.265449,1.2021766,1.189522,1.2232674,1.2148311,1.238953,1.230496,1.2643241,1.3150662,1.3277518,1.4123219,1.4165504,1.4334644,1.4207789,1.4123219,1.3869509,1.3658082,1.3860631,1.5174636,1.6615802,1.6827738,1.6658189,1.6700577,1.6742964,1.6912513,1.6997287,1.6870126,1.6446253,1.648864,1.6183698,1.6098967,1.6056601,1.6098967,1.6183698,1.6268429,1.6522623,1.6226064,1.6268429,1.6310794,1.6226064,1.6226064,,,,,,,1043,0,0,5
1095,2.5692172,2.6422622,2.6436667,2.6268103,2.6282151,2.6017261,2.5457749,2.5611615,2.5863395,2.5905359,2.6045237,2.6185114,2.6171126,2.6101189,2.6003273,2.614315,2.5989285,2.5823624,2.5252244,2.540554,2.5684264,2.5851498,2.6032667,2.5893304,2.5935113,2.5823624,2.5753944,2.5865433,2.6102347,2.6111434,2.6333306,2.6499708,2.6541309,2.6582911,2.6887982,2.744266,2.7511995,2.7567463,2.7775466,2.7872536,2.8191473,,,,,,,1047,0,0,0
1097,4.152019,3.8832059,3.8930328,3.8971536,3.8832059,3.6734719,3.6409101,3.6731558,3.7528214,3.6772656,3.6937046,3.6820076,3.6987627,3.7502925,3.7461827,3.720892,3.7016079,3.6863387,3.862752,3.8150129,3.8390405,3.8393567,3.8434665,3.8542156,3.8785596,3.8709719,3.8975286,3.8912055,3.9108071,3.8927505,3.8889625,3.9236853,3.9202132,3.9047456,3.9262106,4.0180683,4.0928807,4.1096106,4.1089792,4.1074009,4.0755191,,,,,,,1121,0,0,0
1099,0.8756147,0.85762262,0.88161206,0.91759628,0.95358044,1.0306171,0.98842818,1.0185632,1.0547252,1.0547252,1.0848602,1.1029412,1.1029412,1.0969142,1.0908872,1.0848602,1.0788332,1.0652463,1.0470887,1.0591938,1.0531412,1.0228785,1.0047209,0.98656338,1.0228785,1.0349836,1.0470887,1.0591938,1.0228785,1.027668,1.027668,1.027668,1.0459106,1.0519915,1.0337489,1.0823959,1.076315,1.0884768,1.0884768,1.1188811,1.1310428,,,,,,,1130,0,0,3
1101,4.769907,4.7496953,4.7439208,4.6907935,4.8848233,4.8732629,4.7266726,4.537375,4.6833878,4.6753082,4.7664943,4.8011217,4.8628745,4.9344382,4.9228959,4.7745743,4.788425,4.798243,4.5590515,4.5798006,4.5913281,4.5700026,4.5625095,4.6299443,4.6708665,4.662221,4.6679845,4.8403177,4.8339777,4.8329649,4.8231511,4.8260374,4.8052554,4.7804327,4.7700415,4.8185329,4.776969,4.810451,4.7827415,4.7775464,4.7556095,,,,,,,1135,0,0,5
